Feature_ID,CAS,Mean_RT
000078-40-0_group5,000078-40-0,13.111412
000078-40-0_group6,000078-40-0,14.2721
000078-40-0_group7,000078-40-0,16.41125
000078-70-6_group1,000078-70-6,11.958300000000001
000078-78-4_group1,000078-78-4,3.3314526315789474
000078-78-4_group2,000078-78-4,4.338966666666667
000078-79-5_group1,000078-79-5,1.3488
000078-79-5_group2,000078-79-5,3.60020625
000078-79-5_group3,000078-79-5,4.696633333333334
000078-80-8_group1,000078-80-8,3.592333333333334
000078-80-8_group2,000078-80-8,3.9448
000078-80-8_group3,000078-80-8,12.2103
000078-80-8_group4,000078-80-8,16.41727142857143
000078-80-8_group5,000078-80-8,17.4898
000078-80-8_group6,000078-80-8,18.205866666666665
000078-83-1_group1,000078-83-1,4.5194
000078-84-2_group1,000078-84-2,4.0761
000078-85-3_group1,000078-85-3,5.009533333333334
000078-90-0_group1,000078-90-0,3.9504
000078-93-3_group1,000078-93-3,5.244166666666667
000078-93-3_group2,000078-93-3,6.842725
000078-94-4_group1,000078-94-4,5.6718
000079-00-5_group1,000079-00-5,12.9788
000079-01-6_group1,000079-01-6,6.319016666666666
000079-05-0_group1,000079-05-0,3.1932
000079-06-1_group1,000079-06-1,4.9763
000079-06-1_group2,000079-06-1,11.8583
000079-09-4_group1,000079-09-4,3.0024761904761905
000079-09-4_group2,000079-09-4,5.0361
000079-09-4_group3,000079-09-4,11.876798876404495
000079-09-4_group4,000079-09-4,15.107858333333333
000079-09-4_group5,000079-09-4,19.4924
000079-10-7_group1,000079-10-7,10.9882
000079-16-3_group1,000079-16-3,12.84165
000079-16-3_group2,000079-16-3,13.2973
000079-16-3_group3,000079-16-3,16.22785
000079-20-9_group1,000079-20-9,4.5302
000079-29-8_group1,000079-29-8,3.37582
000079-31-2_group1,000079-31-2,5.0241
000079-31-2_group2,000079-31-2,12.158560869565218
000079-31-2_group3,000079-31-2,13.3743
000079-31-2_group4,000079-31-2,15.1838
000079-31-2_group5,000079-31-2,15.4636
000079-38-9_group1,000079-38-9,16.9535
000079-39-0_group1,000079-39-0,5.7069
000079-39-0_group2,000079-39-0,7.0492
000079-41-4_group1,000079-41-4,6.0813500000000005
000079-68-5_group1,000079-68-5,12.2489
000079-69-6_group1,000079-69-6,11.8682
000079-70-9_group1,000079-70-9,17.334973333333334
000079-77-6_group1,000079-77-6,25.5549
000079-77-6_group2,000079-77-6,36.6669
000079-92-5_group1,000079-92-5,7.11665625
000079-92-5_group2,000079-92-5,8.2531
000080-46-6_group1,000080-46-6,21.8627
000080-46-6_group2,000080-46-6,23.94447681
000080-46-6_group3,000080-46-6,30.9205
000080-46-6_group4,000080-46-6,31.39098333333333
000080-46-6_group5,000080-46-6,38.7521
000080-53-5_group1,000080-53-5,13.7947
000080-54-6_group1,000080-54-6,16.92018653846154
000080-54-6_group2,000080-54-6,22.2676
000080-54-6_group3,000080-54-6,22.6441
000080-54-6_group4,000080-54-6,25.272233333333332
000080-56-8_group1,000080-56-8,6.645123529411765
000080-56-8_group2,000080-56-8,7.78365
000080-56-8_group3,000080-56-8,8.108
000080-56-8_group4,000080-56-8,8.600833333333334
000080-62-6_group1,000080-62-6,6.422155555555555
000080-63-7_group1,000080-63-7,23.6317
000081-21-0_group1,000081-21-0,13.3932
000082-42-8_group1,000082-42-8,45.7093
000082-88-2_group1,000082-88-2,46.2062
000083-33-0_group1,000083-33-0,17.1890625
000083-33-0_group2,000083-33-0,22.77535
000083-54-5_group1,000083-54-5,18.2568
000084-66-2_group1,000084-66-2,22.98220566037736
000084-66-2_group2,000084-66-2,30.1321
000084-66-2_group3,000084-66-2,30.554873684210527
000084-66-2_group4,000084-66-2,33.1295
000084-69-5_group1,000084-69-5,33.1249
000084-74-2_group1,000084-74-2,35.095616666666665
000084-74-2_group2,000084-74-2,38.4582
000084-74-2_group3,000084-74-2,39.02190454545455
000084-82-2_group1,000084-82-2,22.5926
000085-19-8_group1,000085-19-8,19.3273
000085-69-8_group1,000085-69-8,40.7651
000086-73-7_group1,000086-73-7,22.82435
000086-99-7_group1,000086-99-7,16.6206
000086-99-7_group2,000086-99-7,17.3142
000087-41-2_group1,000087-41-2,23.26585
000087-41-2_group2,000087-41-2,30.656
000087-44-5_group1,000087-44-5,11.8368
000087-44-5_group2,000087-44-5,12.594357142857143
000087-44-5_group3,000087-44-5,13.151050000000001
000087-44-5_group4,000087-44-5,14.7192
000087-44-5_group5,000087-44-5,15.5732
000087-64-9_group1,000087-64-9,15.38168
000087-64-9_group2,000087-64-9,15.796600000000002
000087-65-0_group1,000087-65-0,18.247333333333334
000087-85-4_group1,000087-85-4,22.3834
000087-97-8_group1,000087-97-8,18.8302
000087-97-8_group2,000087-97-8,19.2464
000087-99-0_group1,000087-99-0,11.8134
000087-99-0_group2,000087-99-0,22.510566666666666
000087-99-0_group3,000087-99-0,23.1198
000088-06-2_group1,000088-06-2,22.3221
000088-06-2_group2,000088-06-2,22.5476
000088-06-2_group3,000088-06-2,22.8237
000088-06-2_group4,000088-06-2,24.0199
000088-06-2_group5,000088-06-2,25.3643
000088-18-6_group1,000088-18-6,18.8866
000088-26-6_group1,000088-26-6,16.6073
000088-27-7_group1,000088-27-7,29.433442857142857
000088-30-2_group1,000088-30-2,11.6511
000088-32-4_group1,000088-32-4,17.4994
000088-45-9_group1,000088-45-9,5.1033
000088-58-4_group1,000088-58-4,19.792375
000088-58-4_group2,000088-58-4,20.2245
000088-58-4_group3,000088-58-4,22.9196
000088-58-4_group4,000088-58-4,23.45537222222222
000088-58-4_group5,000088-58-4,27.7872
000088-58-4_group6,000088-58-4,29.3764
000088-58-4_group7,000088-58-4,30.0299
000088-60-8_group1,000088-60-8,19.622
000088-72-2_group1,000088-72-2,8.2845
000088-72-2_group2,000088-72-2,8.757
000088-75-5_group1,000088-75-5,14.6601
000088-84-6_group1,000088-84-6,12.5205
000088-84-6_group2,000088-84-6,14.1633
000088-84-6_group3,000088-84-6,33.2645
000089-46-3_group1,000089-46-3,25.6868
000089-60-1_group1,000089-60-1,18.7665
000089-68-9_group1,000089-68-9,17.8947
000089-74-7_group1,000089-74-7,11.855274999999999
000089-78-1_group1,000089-78-1,9.6695
000089-78-1_group2,000089-78-1,10.4303
000089-78-1_group3,000089-78-1,12.692883333333334
000089-79-2_group1,000089-79-2,12.0703
000089-82-7_group1,000089-82-7,14.2057
000089-84-9_group1,000089-84-9,15.461549999999999
000089-87-2_group1,000089-87-2,9.8076
000089-92-9_group1,000089-92-9,8.0109
000089-92-9_group2,000089-92-9,8.5145
000090-00-6_group1,000090-00-6,18.371133333333333
000090-00-6_group2,000090-00-6,18.84437777777778
000090-02-8_group1,000090-02-8,13.398114285714286
000090-05-1_group1,000090-05-1,14.868804347826087
000090-12-0_group1,000090-12-0,15.349897029702971
000090-12-0_group2,000090-12-0,19.432816666666668
000090-12-0_group3,000090-12-0,19.7486
000090-12-0_group4,000090-12-0,19.9998
000090-12-0_group5,000090-12-0,20.36902
000090-15-3_group1,000090-15-3,15.9758
000090-26-6_group1,000090-26-6,20.4954
000090-30-2_group1,000090-30-2,15.6113
000090-30-2_group2,000090-30-2,19.731
000090-30-2_group3,000090-30-2,36.8867
000090-30-2_group4,000090-30-2,37.357
000090-43-7_group1,000090-43-7,24.9884
000090-43-7_group2,000090-43-7,36.1895
000090-43-7_group3,000090-43-7,36.80524444444445
